codicearticolo,nome,descrizione,generemusicale,etichettadiscografica,codicebundle
AB123456,Abbey Road,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Interscope Records,null
CD234567,Dark Side of the Moon,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Island Records,null
EF345678,Thriller,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Domino Recording Company,MO345692
GH456789,The Wall,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Universal Music Group,null
IJ567890,Rumours,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Ninja Tune,null
KL678901,Back in Black,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Heavy Metal,Def Jam Recordings,null
MN789012,Traveller,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Country,ANTI-Records,null
OP890123,Nevermind,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Sub Pop Records,SU901258
QR901234,Hotel California,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,XL Recordings,null
ST012345,Texas Flood,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Blues,Sub Pop Records,null
UV123457,Led Zeppelin IV,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Heavy Metal,EMI Records,null
WX234568,Born to Run,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Island Records,null
YZ345679,Sgt. Pepper's Lonely Hearts Club Band,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Interscope Records,QS789036
BA456780,Appetite for Destruction,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Heavy Metal,Elektra Records,null
DC567891,Sticky Fingers,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Epic Records,null
FE678902,Goodbye Yellow Brick Road,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Matador Records,null
HG789013,Purple Rain,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Domino Recording Company,TV012369
JI890124,Who's Next,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,RCA Records,null
