articolomusicale,rpm,formatologico
CD234567,480,ISO 9660
IJ567890,480,ISO 9660
OP890123,480,ISO 9660
UV123457,460,CD-Audio
BA456780,480,ISO 9660
HG789013,460,ISO 9660
NM012346,460,ISO 9660
TS345680,480,ISO 9660
ZY678913,460,CD-Audio
CE901246,460,ISO 9660
FH234570,480,Apple-ISO (HFS)
IK567803,480,CD-Audio
LN890136,460,Apple-ISO (HFS)
OQ123470,460,ISO 9660
RT456703,480,ISO 9660
UW789036,480,CD-Audio
XZ012369,460,CD-Audio
BC345692,480,CD-Audio
HI678925,480,ISO 9660
NO901258,480,ISO 9660
TU234581,480,CD-Audio
AB567814,480,Apple-ISO (HFS)
GH890147,460,ISO 9660
MN123470,460,Apple-ISO (HFS)
ST456703,480,CD-Audio
YZ789036,480,ISO 9660
FE012369,480,Apple-ISO (HFS)
LK345692,460,CD-Audio
RQ678925,460,Apple-ISO (HFS)
XW901258,460,ISO 9660
BD234581,480,CD-Audio
EG567814,460,CD-Audio
HJ890147,460,Apple-ISO (HFS)
